Année;Région;Région;Région;Type de voie;Type de voie NL;Type de voie EN;Kilomètres de voie;Nombre d'appareils de voie
2023;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;317;473
2022;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3289;2028
2022;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1044;2610
2022;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2950;1514
2022;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;587;1350
2021;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;313;466
2021;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;587;1345
2020;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;625;1337
2019;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3266;2080
2019;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1146;2701
2019;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;640;1362
2018;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1149;2809
2017;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;167;531
2017;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;648;1534
2016;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1275;2986
2016;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2979;1600
2016;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;822;1529
2014;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;308;470
2014;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2986;1693
2014;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;826;1782
2013;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1300;3361
2012;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;219;793
2012;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1389;4067
2012;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;898;2467
2011;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;3006;1786
2011;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;858;2609
2010;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;3006;1817
2010;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;827;2646
2009;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3139;2152
2009;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;835;2711
2008;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;977;2780
2007;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;264;520
2007;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;2987;2084
2007;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2989;1834
2006;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;237;939
2006;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1560;4382
2023;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;115;414
2023;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3294;2012
2023;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1048;2599
2023;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2954;1516
2022;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;314;468
2021;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3276;2038
2020;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;312;465
2020;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;135;436
2020;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3271;2040
2019;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;136;449
2018;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3247;2091
2017;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1146;2844
2016;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;310;457
2016;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;168;533
2016;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3222;2123
2015;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;168;536
2015;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2983;1648
2014;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;168;539
2013;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;299;481
